,text
29,"Ad
Why You Should Always Put Plastic Bottle on Tires"
30,'AGT' gives Willie Nelson protégé a second chance after her 'life was flipped upside-down'
31,"Travis Barker Hospitalized in Los Angeles, Wife Kourtney Kardashian by His Side: Report"
32,‘Who’s the Boss?’ Sequel Starring Tony Danza and Alyssa Milano in the Works
33,"Ad
Her Annual Salary Has the Internet Buzzing"
34,"Savage Garden's Darren Hayes on his difficult, closeted '90s: 'I was trying to be outed'"
35,Ginger Zee responds to parenting trolls: 'Everyone’s village looks different'
36,Lauren Conrad reveals she had an ectopic pregnancy while addressing Roe v. Wade reversal
37,"Ad
China Just Bought These Major US Companies"
38,Welcome to Plathville's Kim and Barry Plath Announce the End of Their 24-Year Marriage
39,Troian Bellisario on giving birth in a car: 'I was mentally on a different planet'
40,"Chris Pratt says social media criticism, including 'worst Chris' title, 'really f***ing bothered me'"
41,"Ad
Wrap Foil Around Doorknobs When Alone, Here's Why"
42,EXCLUSIVE: Lachlan Watson to Star As Glen/Glenda In 'Chucky' Season 2
43,Ron Perlman Marries Fiancée Allison Dunbar in Italy: 'Spring Has Indeed Sprung'
44,"Christian Bale still hasn't watched Robert Pattinson in 'The Batman,' but thinks he's 'absolutely magnificent'"
45,"Ad
Man Finds Tiny Creature In Backyard"
46,Mandy Moore Cancels Remainder of 2022 Tour Dates amid Pregnancy to Focus on Health and Family
47,"Ariana DeBose, Troy Kotsur, Billie Eilish Among 397 Invited to Join Oscars Academy"
48,"Depeche Mode Co-Founder Andy Fletcher's Death Was Caused by an 'Aortic Dissection,' Band Confirms"
49,"Ad
Hilarious Lost And Found Signs People Have Seen"
50,Dakota Johnson on the chaos of making 'Fifty Shades': 'It was like mayhem all the time'
51,Bill Hader and Anna Kendrick Have Reportedly Broken Up
52,"Mary Mara, 'Ray Donovan' and 'ER' actress, dies in apparent drowning"
53,"Ad
Cutting-edge carbon bike parts from German vendor"
54,Woody Allen expects his 50th film to be his last: 'The thrill is gone'
55,"Ashlee Simpson Ross' Son Bronx, 13, Looks All Grown Up in 'London Dinner Date' Photo with Mom"
56,Jodie Sweetin on police altercation at abortion protest: 'There was a lot of passion'
57,"Ad
These Maps Will Change Your View Of The World"
58,Margot Robbie’s Viral ‘Barbie’ Costumes Are Created by Oscar-Winning ‘Little Women’ Costume Designer
59,Sony Dates ‘Ghostbusters’ Sequel For 2023
60,"Beanie Feldstein Is Engaged to Girlfriend Bonnie Chance Roberts: ""I Do, Bon"""
61,Jason Kander Was a Rising Star in the Democratic Party. Then He Went on Suicide Watch
62,"Winona Ryder Describes Her Life in '90s Post Johnny Depp Split as 'My Girl, Interrupted Real Life'"
63,"Busy Philipps, 43, says she's never had Botox, fillers: 'People have actually accused me of work'"
64,Selena Gomez Calls on Men to ‘Stand Up’ & ‘Speak Against’ Supreme Court’s Overturning of Roe v. Wade
65,The Sanderson Sisters are back in the first 'Hocus Pocus 2' trailer
66,‘True Detective’ Season 4 at HBO Casts Kali Reis in Lead Role Opposite Jodie Foster
67,"Laura Prepon reflects on having a life-saving abortion: 'At the time, I had the choice'"
68,Howard Stern Considers Running for President to Overturn Supreme Court: ‘I’m Not F—ing Around’
69,"Pedro Almodovar Details New Western with Ethan Hawke and Pedro Pascal, His ‘Answer’ to ‘Brokeback Mountain’"
70,Hugh Bonneville on Future of ‘Downton Abbey’: “It Might Be the Right Time to Stop”
71,Watch Lizzo Find Her Inner Beyoncé on ‘Carpool Karaoke’
72,Chelsea Handler slams GOP claims of being pro-life: ‘Like calling O.J. Simpson pro-wife’
73,Alabama teen thought she had more time before abortion ban took effect: 'I just started crying'
74,5 Seconds of Summer Cancels Tour Dates After Ashton Irwin Suffers Heat Exhaustion During Concert
75,Charli D'Amelio Is Dating Travis Barker's Son Landon Barker
76,"Mary Mara, ‘ER’ and ‘Law and Order’ Actor, Dies at 61 in Apparent Drowning"
77,Samuel L. Jackson Slams ‘Uncle Clarence’ Thomas for Hypocrisy on Interracial Marriage
78,Britney Spears' ex ordered to trial on stalking charge
79,"Chris Pratt, noted Hollywood Chris, doesn't like being called Chris: 'It's not my name'"
80,‘The Old Man’ Starring Jeff Bridges Renewed for Season 2 at FX
81,Jason Momoa's Kids Support Him as He's Named UNEP Advocate for Life Below Water: 'Papa Loves You'
82,"Ciara on singing with her kids, moving her family to Denver and her son's reaction to her Sports Illustrated Swimsuit cover"
83,Whoopi Goldberg Calls Out Clarence Thomas on ‘The View’: “You Better Hope They Don’t Come for You Next”
84,Kendrick Lamar chants 'Godspeed for women’s rights!' at Glastonbury Festival after Roe v. Wade ruling
85,"The It List: Rare female perspective on the oligarch world featured in Paramount+ doc, 'Stranger Things' Season 4 feature-length finale episodes hit Netflix and all the best in pop culture the week of June 27, 2022"
86,Apple TV+ Might Have the Next ‘Big Little Lies’ on its Hands With ‘Surface’
87,The Truth About Johnny Depp's Rumored $300 Million Pirates of the Caribbean Return
88,Emma Roberts Cast in Sony’s Star-Studded Marvel Movie ‘Madame Web’
89,Ben Affleck's 10-year-old son reverses pricey Lamborghini into parked BMW
90,"‘The View’ Co-Host Sunny Hostin Doesn’t Believe in Abortion or ‘Any Exception,’ Even Incest, but Disagrees With Supreme Court"
91,Vanessa Hudgens Visits the Iconic School Featured in the High School Musical Series
92,"Inside the Battle to Save the Golden Globes, as Publicists Eat Their Own and NBC Waits (EXCLUSIVE)"
93,Alec Baldwin announces Woody Allen interview: 'I have ZERO INTEREST in anyone’s judgments'
94,Christian Bale: I Would Play Batman Again If Christopher Nolan Directs
95,Carol Burnett to Guest Star on ‘Better Call Saul’ Final Season
96,John Oliver calls out Democrats for not doing more to stop Roe from being overturned
97,"Kanye West emerges from 'hiatus' with surprise, Kardashian-referencing speech at BET Awards"
98,Givēon Performs “Lie Again” At 2022 BET Awards Following Mic Mishap
99,"Silk Sonic, Kendrick Lamar & More Record-Setters at 2022 BET Awards"
100,"Janelle Monáe, Taraji P. Henson, Jazmine Sullivan speak out during politically charged BET Awards: 'F*** you, Supreme Court'"
101,"'Full House' star Jodie Sweetin shoved by police during protest, says she will 'continue fighting': More celebs react"
102,Jack Harlow Delivers “First Class” Performance With Brandy And Lil Wayne At 2022 BET Awards
103,BET Awards 2022: See the full list of winners
104,Dave Grohl Joins Paul McCartney at Glastonbury in First Performance Since Taylor Hawkins' Death
105,Jack Harlow Wears Lil Nas X T-Shirt to BET Awards to Protest Snub
106,Jodie Sweetin speaks out after being pushed by police at abortion rights protest: 'Our activism will continue'
107,Matthew McConaughey Responds to President Biden Signing Gun Control Bill: 'Step in the Right Direction'
108,Pink tells her fans who support the Supreme Court's decision to overturn Roe v. Wade to 'never f***ing listen to my music again'
109,Nicole Kidman shares rare wedding photo as she celebrates 16 years of marriage to Keith Urban
110,Green Day's Billie Joe Armstrong tells fans he's 'renouncing' his U.S. citizenship over Supreme Court ruling
111,"Lily Anne Harrison Is Pregnant, Expecting First Baby with Peter Facinelli: 'Not a Burrito Belly'"
112,Cam Ayala Takes Fans Inside Recovery as He Practices Walking After Leg Amputation: 'CAMputee'
113,Susan Lucci Honors 'Larger-Than-Life' Late Husband Helmut Huber with Heartfelt Speech at Daytime Emmys
114,Box Office: ‘Elvis’ and ‘Top Gun: Maverick’ Battle for No. 1 With $30.5 Million Each
115,Bill Cosby to have a party to mark 1st anniversary of prison release
116,'Have you ever killed a man?' Kid reporters shock 'Minions' star Steve Carell with questions testing his evilness
117,See the 'Thor: Love and Thunder' cast unbox merch from the latest Marvel blockbuster (exclusive)
118,‘Jeopardy!’ fans can’t even after contestant confuses Public Enemy with Marky Mark and the Funky Bunch
119,Machine Gun Kelly explains self-sustained bloody head injury at concert: 'I didn’t have a fork'
